従業員ID,氏名,部門,役職,時給,雇用形態,入社日,スキルレベル,希望勤務時間,連絡先,備考
EMP001,山田美咲,経理部,課長,2320,正社員,2022-12-28,5,午後のみ,090-9554-4430,経験豊富
EMP002,鈴木次郎,経理部,主任,1446,アルバイト,2023-08-18,2,夕方以降,090-3861-5816,新人
EMP003,渡辺由美,総務部,課長,2209,正社員,2023-09-11,4,土日のみ,090-2484-4109,リーダー候補
EMP004,田中太郎,経理部,係長,1857,パート,2025-05-14,2,夕方以降,090-7627-3104,経験豊富
EMP005,松本直樹,営業部,主任,1541,パート,2024-12-05,2,午後のみ,090-7101-3556,経験豊富
EMP006,佐藤花子,経理部,課長,2475,アルバイト,2023-06-17,5,午後のみ,090-9748-5467,リーダー候補
EMP007,清水健二,営業部,スタッフ,1148,アルバイト,2024-08-19,2,午後のみ,090-7792-9515,研修中
EMP008,中村真理,経理部,主任,1692,パート,2025-04-10,1,午前のみ,090-3792-8238,
EMP009,井上麻衣,管理部,課長,2183,パート,2023-11-02,1,フルタイム,090-1610-5484,研修中
EMP010,加藤恵子,経理部,課長,2075,アルバイト,2024-10-03,4,フルタイム,090-4477-8110,経験豊富
EMP011,木村拓也,総務部,課長,1994,アルバイト,2025-04-25,5,土日のみ,090-3845-4664,リーダー候補
EMP012,小林和也,経理部,主任,1542,パート,2023-07-28,5,夕方以降,090-7172-2009,経験豊富
