日付,従業員ID,氏名,部門,役職,予定開始,実際出勤,実際退勤,休憩時間,実働時間,業務内容,評価,勤務場所,出勤状況
2025-07-03,EMP001,山田美咲,経理部,課長,09:00,09:00,16:10,60,370,一般業務,4.3,事務所,早退
2025-07-03,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.4,事務所,正常
2025-07-03,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.2,事務所,正常
2025-07-03,EMP004,田中太郎,経理部,係長,17:00,17:00,21:00,0,240,一般業務,4.0,事務所,正常
2025-07-03,EMP005,松本直樹,営業部,主任,17:00,17:00,21:00,0,240,外回り,3.2,事務所,正常
2025-07-03,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.1,事務所,正常
2025-07-03,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,顧客対応,3.1,事務所,正常
2025-07-03,EMP008,中村真理,経理部,主任,17:00,17:00,25:00,60,420,一般業務,3.4,事務所,正常
2025-07-03,EMP009,井上麻衣,管理部,課長,13:00,13:00,17:00,0,240,一般業務,3.9,事務所,正常
2025-07-03,EMP010,加藤恵子,経理部,課長,09:00,09:16,17:00,60,403,一般業務,4.4,事務所,遅刻
2025-07-03,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.2,事務所,正常
2025-07-03,EMP012,小林和也,経理部,主任,10:00,10:00,14:00,0,240,一般業務,4.3,事務所,正常
2025-07-04,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,5.0,事務所,正常
2025-07-04,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.9,事務所,正常
2025-07-04,EMP004,田中太郎,経理部,係長,13:00,13:00,17:00,0,240,一般業務,3.3,事務所,正常
2025-07-04,EMP005,松本直樹,営業部,主任,17:00,17:12,23:00,60,287,外回り,3.3,事務所,遅刻
2025-07-04,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,外回り,3.2,事務所,正常
2025-07-04,EMP008,中村真理,経理部,主任,17:00,17:00,23:00,60,300,一般業務,3.2,事務所,正常
2025-07-04,EMP009,井上麻衣,管理部,課長,09:00,09:00,13:00,0,240,一般業務,3.1,事務所,正常
2025-07-04,EMP010,加藤恵子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.2,事務所,正常
2025-07-04,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,電話対応,4.8,事務所,正常
2025-07-04,EMP012,小林和也,経理部,主任,10:00,10:00,14:00,0,240,一般業務,4.6,事務所,正常
2025-07-05,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.7,事務所,正常
2025-07-05,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.1,事務所,正常
2025-07-05,EMP009,井上麻衣,管理部,課長,17:00,17:00,23:00,60,300,一般業務,3.3,事務所,正常
2025-07-05,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.3,事務所,正常
2025-07-06,EMP004,田中太郎,経理部,係長,13:00,13:26,21:00,60,393,一般業務,3.1,事務所,遅刻
2025-07-06,EMP007,清水健二,営業部,スタッフ,09:00,09:00,16:12,60,372,顧客対応,3.5,事務所,早退
2025-07-06,EMP009,井上麻衣,管理部,課長,13:00,13:00,17:00,0,240,一般業務,4.0,事務所,正常
2025-07-06,EMP012,小林和也,経理部,主任,13:00,13:00,21:00,60,420,一般業務,4.4,事務所,正常
2025-07-07,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.3,事務所,正常
2025-07-07,EMP004,田中太郎,経理部,係長,10:00,10:00,18:00,60,420,一般業務,3.8,事務所,正常
2025-07-07,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.5,事務所,正常
2025-07-07,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,顧客対応,3.1,事務所,正常
2025-07-07,EMP008,中村真理,経理部,主任,09:00,09:28,13:00,0,211,一般業務,3.9,事務所,遅刻
2025-07-07,EMP009,井上麻衣,管理部,課長,10:00,10:00,16:00,60,300,一般業務,3.9,事務所,正常
2025-07-07,EMP010,加藤恵子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.0,事務所,正常
2025-07-07,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.3,事務所,正常
2025-07-08,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.2,事務所,正常
2025-07-08,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.5,事務所,正常
2025-07-08,EMP004,田中太郎,経理部,係長,17:00,17:00,22:00,0,300,一般業務,3.4,事務所,正常
2025-07-08,EMP005,松本直樹,営業部,主任,17:00,17:00,25:00,60,420,顧客対応,3.8,事務所,正常
2025-07-08,EMP006,佐藤花子,経理部,課長,09:00,09:14,17:00,60,405,一般業務,4.8,事務所,遅刻
2025-07-08,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,顧客対応,3.2,事務所,正常
2025-07-08,EMP008,中村真理,経理部,主任,10:00,10:00,16:00,60,300,一般業務,3.6,事務所,正常
2025-07-08,EMP009,井上麻衣,管理部,課長,09:00,09:00,13:00,0,240,一般業務,3.8,事務所,正常
2025-07-08,EMP010,加藤恵子,経理部,課長,09:00,09:29,17:00,60,390,一般業務,4.7,事務所,遅刻
2025-07-08,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.1,事務所,正常
2025-07-08,EMP012,小林和也,経理部,主任,10:00,10:00,18:00,60,420,一般業務,4.0,事務所,正常
2025-07-09,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.7,事務所,正常
2025-07-09,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,事務処理,4.1,事務所,正常
2025-07-09,EMP004,田中太郎,経理部,係長,17:00,17:00,23:00,60,300,一般業務,3.9,事務所,正常
2025-07-09,EMP005,松本直樹,営業部,主任,17:00,17:00,21:00,0,240,顧客対応,3.0,事務所,正常
2025-07-09,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,外回り,3.5,事務所,正常
2025-07-09,EMP008,中村真理,経理部,主任,10:00,10:00,18:00,60,420,一般業務,3.9,事務所,正常
2025-07-09,EMP009,井上麻衣,管理部,課長,17:00,17:00,21:00,0,240,一般業務,3.4,事務所,正常
2025-07-09,EMP010,加藤恵子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.8,事務所,正常
2025-07-09,EMP011,木村拓也,総務部,課長,09:00,09:18,17:00,60,401,来客対応,4.9,事務所,遅刻
2025-07-09,EMP012,小林和也,経理部,主任,09:00,09:00,15:00,60,300,一般業務,4.5,事務所,正常
2025-07-10,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.8,事務所,正常
2025-07-10,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.2,事務所,正常
2025-07-10,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,事務処理,4.1,事務所,正常
2025-07-10,EMP005,松本直樹,営業部,主任,10:00,10:00,15:00,0,300,外回り,3.6,事務所,正常
2025-07-10,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.9,事務所,正常
2025-07-10,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,顧客対応,3.8,事務所,正常
2025-07-10,EMP008,中村真理,経理部,主任,17:00,17:00,25:00,60,420,一般業務,3.3,事務所,正常
2025-07-10,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,電話対応,4.6,事務所,正常
2025-07-11,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.3,事務所,正常
2025-07-11,EMP004,田中太郎,経理部,係長,17:00,17:00,22:00,0,300,一般業務,3.8,事務所,正常
2025-07-11,EMP005,松本直樹,営業部,主任,13:00,13:00,18:00,0,300,資料作成,3.4,事務所,正常
2025-07-11,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.6,事務所,正常
2025-07-11,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,外回り,3.5,事務所,正常
2025-07-11,EMP009,井上麻衣,管理部,課長,17:00,17:00,21:00,0,240,一般業務,3.4,事務所,正常
2025-07-11,EMP010,加藤恵子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.7,事務所,正常
2025-07-11,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,電話対応,4.9,事務所,正常
2025-07-12,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.2,事務所,正常
2025-07-12,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.1,事務所,正常
2025-07-12,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,外回り,3.7,事務所,正常
2025-07-12,EMP008,中村真理,経理部,主任,13:00,13:00,19:00,60,300,一般業務,3.1,事務所,正常
2025-07-13,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.2,事務所,正常
2025-07-13,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,顧客対応,3.8,事務所,正常
2025-07-13,EMP008,中村真理,経理部,主任,09:00,09:00,14:00,0,300,一般業務,3.7,事務所,正常
2025-07-13,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,事務処理,4.1,事務所,正常
2025-07-13,EMP012,小林和也,経理部,主任,13:00,13:00,18:00,0,300,一般業務,4.6,事務所,正常
2025-07-14,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.7,事務所,正常
2025-07-14,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.3,事務所,正常
2025-07-14,EMP003,渡辺由美,総務部,課長,09:00,09:00,17:00,60,420,電話対応,4.7,事務所,正常
2025-07-14,EMP005,松本直樹,営業部,主任,17:00,17:00,25:00,60,420,外回り,3.8,事務所,正常
2025-07-14,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.7,事務所,正常
2025-07-14,EMP007,清水健二,営業部,スタッフ,09:00,09:00,17:00,60,420,顧客対応,3.2,事務所,正常
2025-07-14,EMP008,中村真理,経理部,主任,10:00,10:00,18:00,60,420,一般業務,3.6,事務所,正常
2025-07-14,EMP009,井上麻衣,管理部,課長,17:00,17:00,21:00,0,240,一般業務,4.0,事務所,正常
2025-07-14,EMP010,加藤恵子,経理部,課長,09:00,09:07,17:00,60,412,一般業務,4.0,事務所,遅刻
2025-07-14,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,事務処理,4.7,事務所,正常
2025-07-14,EMP012,小林和也,経理部,主任,10:00,10:00,18:00,60,420,一般業務,4.2,事務所,正常
2025-07-15,EMP001,山田美咲,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.7,事務所,正常
2025-07-15,EMP002,鈴木次郎,経理部,主任,09:00,09:00,17:00,60,420,一般業務,3.4,事務所,正常
2025-07-15,EMP004,田中太郎,経理部,係長,13:00,13:00,17:00,0,240,一般業務,3.8,事務所,正常
2025-07-15,EMP005,松本直樹,営業部,主任,13:00,13:00,21:00,60,420,外回り,3.6,事務所,正常
2025-07-15,EMP006,佐藤花子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.1,事務所,正常
2025-07-15,EMP009,井上麻衣,管理部,課長,13:00,13:00,17:00,0,240,一般業務,3.8,事務所,正常
2025-07-15,EMP010,加藤恵子,経理部,課長,09:00,09:00,17:00,60,420,一般業務,4.1,事務所,正常
2025-07-15,EMP011,木村拓也,総務部,課長,09:00,09:00,17:00,60,420,来客対応,4.3,事務所,正常
