従業員ID,氏名,部門,役職,時給,雇用形態,入社日,スキルレベル,希望勤務時間,連絡先,備考
EMP001,高橋健太,管理,店長,2016,パート,2025-04-05,2,午前のみ,090-5286-1494,経験豊富
EMP002,伊藤大輔,倉庫,店長,2509,アルバイト,2023-01-25,3,午後のみ,090-1489-6797,経験豊富
EMP003,田中太郎,フロア,主任,1554,パート,2024-07-10,2,フルタイム,090-4768-6771,リーダー候補
EMP004,渡辺由美,管理,リーダー,1440,パート,2023-06-09,1,夕方以降,090-4840-4016,経験豊富
EMP005,池田正人,管理,店長,2414,正社員,2024-03-29,5,午後のみ,090-3506-8570,リーダー候補
EMP006,山本さくら,管理,リーダー,1298,パート,2023-04-15,4,午前のみ,090-4684-8460,研修中
EMP007,松本直樹,管理,スタッフ,957,パート,2023-06-16,4,夕方以降,090-9061-4373,
EMP008,清水健二,倉庫,リーダー,1446,正社員,2024-06-10,1,フルタイム,090-4450-4544,
EMP009,池田正人,管理,店長,2748,パート,2024-08-18,3,午前のみ,090-7137-8233,経験豊富
EMP010,井上麻衣,倉庫,主任,1570,パート,2024-02-26,5,フルタイム,090-5198-7229,研修中
EMP011,松本直樹,レジ,主任,1627,正社員,2023-06-29,3,土日のみ,090-6015-8256,新人
EMP012,森田愛,フロア,主任,1674,正社員,2024-11-09,2,夕方以降,090-1717-3818,新人
