日付,従業員ID,氏名,部門,出勤時間,退勤時間,休憩時間,実働時間,業務内容
2024-01-15,EMP001,田中太郎,営業部,09:00,17:00,60,480,接客・レジ
2024-01-15,EMP002,佐藤花子,営業部,10:00,18:00,60,420,接客・指導
2024-01-15,EMP003,鈴木次郎,総務部,09:00,13:00,0,240,事務作業
2024-01-16,EMP001,田中太郎,営業部,09:05,17:00,60,475,接客・レジ
2024-01-16,EMP004,山田美咲,営業部,17:00,21:00,0,240,接客・清掃
2024-01-17,EMP002,佐藤花子,営業部,10:00,18:00,60,420,接客・指導
2024-01-17,EMP005,高橋健太,営業部,09:00,17:00,60,480,接客・レジ
2024-01-18,EMP001,田中太郎,営業部,09:00,17:00,60,480,接客・レジ
2024-01-18,EMP003,鈴木次郎,営業部,13:00,21:00,60,420,接客・清掃
2024-01-19,EMP002,佐藤花子,営業部,10:00,18:00,60,420,接客・指導
